source,comments,timestamp,text_clean,text_refined,text_for_lda,text_for_bertopic
maps,"Siola Mall Pelayanan Publik Dinas Kependudukan dan Catatan Sipil ini secara fasilitas memang sangat bagus. Tempatnya luas, dingin, bersih, dan banyak tempat duduknya. …",,siola mall pelayanan publik dinas kependudukan dan catatan sipil ini secara fasilitas memang sangat bagus tempatnya luas dingin bersih dan banyak tempat duduknya,siola mall pelayanan publik dinas kependudukan dan catatan sipil ini secara fasilitas memang sangat bagus tempatnya luas dingin bersih dan banyak tempat duduknya,mall pelayanan publik dinas kependudukan catatan sipil fasilitas bagus tempatnya luas dingin bersih duduknya,mall pelayanan publik dinas kependudukan dan catatan sipil ini secara fasilitas memang sangat bagus tempatnya luas dingin bersih dan banyak tempat duduknya
maps,"Tempatnya bagus... Pelayanan cepat tapi sayang petugas loket 3C tidak berhijab, berkacamata ketus ketika melayani.. …",,tempatnya bagus pelayanan cepat tapi sayang petugas loket c tidak berhijab berkacamata ketus ketika melayani,tempatnya bagus pelayanan cepat tapi sayang petugas loket c tidak berhijab berkacamata ketus ketika melayani,tempatnya bagus pelayanan cepat sayang petugas loket c tidak berhijab berkacamata ketus melayani,tempatnya bagus pelayanan cepat tapi sayang petugas loket c tidak berhijab berkacamata ketus ketika melayani
maps,"Disdukcapil Surabaya: Inovasi Digital Demi Warga Kota Pahlawan
Dinas Kependudukan dan Pencatatan Sipil (Disdukcapil) Kota Surabaya telah lama dikenal sebagai salah satu instansi pelayanan publik paling progresif di …",,disdukcapil surabaya inovasi digital demi warga kota pahlawan dinas kependudukan dan pencatatan sipil disdukcapil kota surabaya telah lama dikenal sebagai salah satu instansi pelayanan publik paling progresif di,disdukcapil surabaya inovasi digital demi warga kota pahlawan dinas kependudukan dan pencatatan sipil disdukcapil kota surabaya telah lama dikenal sebagai salah satu instansi pelayanan publik paling progresif di,disdukcapil inovasi digital warga kota pahlawan dinas kependudukan pencatatan sipil disdukcapil kota dikenal salah instansi pelayanan publik progresif,disdukcapil inovasi digital demi warga kota pahlawan dinas kependudukan dan pencatatan sipil disdukcapil kota telah lama dikenal sebagai salah satu instansi pelayanan publik paling progresif di
maps,"pelayanan adminduk di spp nambangan sangat baik dan sangat membantu. petugas ramah dan responsif, saya akan memberikan edukasi kepada kenalan saya untuk melakukan pelayanan adminduk di spp nambangan.",,pelayanan adminduk di spp nambangan sangat baik dan sangat membantu petugas ramah dan responsif saya akan memberikan edukasi kepada kenalan saya untuk melakukan pelayanan adminduk di spp nambangan,pelayanan adminduk di sentra_pelayanan nambangan sangat baik dan sangat membantu petugas ramah dan responsif saya akan memberikan edukasi kepada kenalan saya untuk melakukan pelayanan adminduk di sentra_pelayanan nambangan,pelayanan adminduk sentra_pelayanan nambangan membantu petugas ramah responsif edukasi kenalan pelayanan adminduk sentra_pelayanan nambangan,pelayanan adminduk di sentra_pelayanan nambangan sangat baik dan sangat membantu petugas ramah dan responsif saya akan memberikan edukasi kepada kenalan saya untuk melakukan pelayanan adminduk di sentra_pelayanan nambangan
maps,mengurus KK di Pelayanan Publik Nambangan sangat efisien. hemat waktu dan mudah. petugas ramah dan informatif. saya dibantu oleh mbk Nyimas. jaya selalu Dukcapil surabaya 👌 …,,mengurus kk di pelayanan publik nambangan sangat efisien hemat waktu dan mudah petugas ramah dan informatif saya dibantu oleh mbk nyimas jaya selalu dukcapil surabaya,mengurus kartu keluarga di pelayanan publik nambangan sangat efisien hemat waktu dan mudah petugas ramah dan informatif saya dibantu oleh mbak nyimas jaya selalu dukcapil surabaya,mengurus kartu keluarga pelayanan publik nambangan efisien hemat mudah petugas ramah informatif dibantu mbak nyimas jaya dukcapil,mengurus kartu keluarga di pelayanan publik nambangan sangat efisien hemat waktu dan mudah petugas ramah dan informatif saya dibantu oleh mbak nyimas jaya selalu dukcapil
maps,"Pelayanan kependudukan di SPP Nambangan sangat cepat, tidak perlu mengantri, saya dilayani oleh mbak Nimas yang sangat ramah dan baik, sukses selalu",,pelayanan kependudukan di spp nambangan sangat cepat tidak perlu mengantri saya dilayani oleh mbak nimas yang sangat ramah dan baik sukses selalu,pelayanan kependudukan di sentra_pelayanan nambangan sangat cepat tidak perlu mengantri saya dilayani oleh mbak nimas yang sangat ramah dan baik sukses selalu,pelayanan kependudukan sentra_pelayanan nambangan cepat tidak mengantri dilayani mbak nimas ramah sukses,pelayanan kependudukan di sentra_pelayanan nambangan sangat cepat tidak perlu mengantri saya dilayani oleh mbak nimas yang sangat ramah dan baik sukses selalu
maps,"Kehilangan KTP luar kota , hilang dijln kalibutuh ,  sudah ada surat kehilangan dari kepolisian , sudah daftar IKD , giliran mau cetak BLANGKO HABIS ,
Blangko habis diibukota Jawatimur surabya , …",,kehilangan ktp luar kota hilang dijln kalibutuh sudah ada surat kehilangan dari kepolisian sudah daftar ikd giliran mau cetak blangko habis blangko habis diibukota jawatimur surabya,kehilangan ktp luar kota hilang dijln kalibutuh sudah ada surat kehilangan dari kepolisian sudah daftar ikd giliran mau cetak blangko habis blangko habis diibukota jawatimur surabya,kehilangan ktp kota hilang dijln kalibutuh surat kehilangan kepolisian daftar ikd giliran cetak blangko habis blangko habis diibukota jawatimur surabya,kehilangan ktp luar kota hilang dijln kalibutuh sudah ada surat kehilangan dari kepolisian sudah daftar ikd giliran mau cetak blangko habis blangko habis diibukota jawatimur surabya
maps,"Spp nambangan, pelayanan dispenduk capil sangat cepat dan membantu. petugasnya ramah dan cekatan. pelayanan prima. Saya rekomendasikan warga saya untuk datang mengurus adminduk ke SPP NAMBANGAN 💕 …",,spp nambangan pelayanan dispenduk capil sangat cepat dan membantu petugasnya ramah dan cekatan pelayanan prima saya rekomendasikan warga saya untuk datang mengurus adminduk ke spp nambangan,sentra_pelayanan nambangan pelayanan dispenduk capil sangat cepat dan membantu petugasnya ramah dan cekatan pelayanan prima saya rekomendasikan warga saya untuk datang mengurus adminduk ke sentra_pelayanan nambangan,sentra_pelayanan nambangan pelayanan dispenduk capil cepat membantu petugasnya ramah cekatan pelayanan prima rekomendasikan warga mengurus adminduk sentra_pelayanan nambangan,sentra_pelayanan nambangan pelayanan dispenduk capil sangat cepat dan membantu petugasnya ramah dan cekatan pelayanan prima saya rekomendasikan warga saya untuk datang mengurus adminduk ke sentra_pelayanan nambangan
maps,"Bagi surabaya utara yang mau ngurus adminduk bisa ke spp nambangan.
Pelayanan disini sangat cepat dan mudah petugas informatif.
Dan melayani masyarakan dan dibantu sama mb nyimas.",,bagi surabaya utara yang mau ngurus adminduk bisa ke spp nambangan pelayanan disini sangat cepat dan mudah petugas informatif dan melayani masyarakan dan dibantu sama mb nyimas,bagi surabaya utara yang mau ngurus adminduk bisa ke sentra_pelayanan nambangan pelayanan disini sangat cepat dan mudah petugas informatif dan melayani masyarakan dan dibantu sama mb nyimas,utara ngurus adminduk sentra_pelayanan nambangan pelayanan cepat mudah petugas informatif melayani masyarakan dibantu mb nyimas,bagi utara yang mau ngurus adminduk bisa ke sentra_pelayanan nambangan pelayanan disini sangat cepat dan mudah petugas informatif dan melayani masyarakan dan dibantu sama mb nyimas
maps,Pelayanan adminduk yang ada di SENTRA PELAYANAN PUBLIK NAMBANGAN ini sangat memudahkan saya dalam pengurusan adminduk dan menghemat waktu saya. Layanan pelanggan di sini luar biasa. petugas dispenduk sangat ramah dan selalu siap membantu. ❤️,,pelayanan adminduk yang ada di sentra pelayanan publik nambangan ini sangat memudahkan saya dalam pengurusan adminduk dan menghemat waktu saya layanan pelanggan di sini luar biasa petugas dispenduk sangat ramah dan selalu siap membantu,pelayanan adminduk yang ada di sentra pelayanan publik nambangan ini sangat memudahkan saya dalam pengurusan adminduk dan menghemat waktu saya layanan pelanggan di sini luar biasa petugas dispenduk sangat ramah dan selalu siap membantu,pelayanan adminduk sentra pelayanan publik nambangan memudahkan pengurusan adminduk menghemat layanan pelanggan petugas dispenduk ramah membantu,pelayanan adminduk yang ada di sentra pelayanan publik nambangan ini sangat memudahkan saya dalam pengurusan adminduk dan menghemat waktu saya layanan pelanggan di sini luar biasa petugas dispenduk sangat ramah dan selalu siap membantu
